Ticker,Security_Name,GICS_Sector,Bid_Ask_Spread_Bps,Commission_Bps,Market_Impact_Bps_Per_1M,Avg_Daily_Volume_M,Avg_Daily_Dollar_Volume_M,Liquidity_Bucket,Total_Oneway_Cost_Bps,Total_Roundtrip_Cost_Bps,Cost_Low_Urgency_Bps,Cost_Medium_Urgency_Bps,Cost_High_Urgency_Bps,Max_Participation_Rate_Pct,Days_To_Liquidate,TCost_Model_ID,Model_Name,As_Of_Date
SYN024,Synthetic Company 24,Consumer Staples,45.75,3.17,83.33,0.1,43.43,1,67.71,135.42,47.4,67.71,101.56,10.3,0.9,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN025,Synthetic Company 25,Energy,51.64,2.01,83.99,4.97,251.12,1,69.82,139.64,48.87,69.82,104.73,13.49,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN026,Synthetic Company 26,Consumer Staples,56.45,2.38,75.22,2.33,863.83,3,68.22,136.43,47.75,68.22,102.32,14.49,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN027,Synthetic Company 27,Energy,46.69,1.73,79.28,8.28,2042.3,4,64.71,129.42,45.3,64.71,97.07,11.35,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN028,Synthetic Company 28,Communication Services,48.03,4.63,96.72,0.79,304.17,2,77.01,154.01,53.9,77.01,115.51,11.06,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN029,Synthetic Company 29,Real Estate,50.01,3.33,93.36,4.76,1224.01,3,75.02,150.04,52.51,75.02,112.53,6.46,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN030,Synthetic Company 30,Utilities,48.33,2.6,83.24,3.46,111.4,1,68.39,136.77,47.87,68.39,102.58,8.95,0.4,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN031,Synthetic Company 31,Financials,45.01,2.85,79.77,5.52,1369.89,4,65.24,130.48,45.67,65.24,97.86,8.5,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN032,Synthetic Company 32,Consumer Discretionary,50.15,4.79,80.88,0.39,122.0,1,70.31,140.61,49.21,70.31,105.46,8.77,0.4,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN033,Synthetic Company 33,Materials,46.73,1.61,84.77,4.43,252.48,1,67.36,134.73,47.15,67.36,101.05,9.68,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN034,Synthetic Company 34,Materials,51.36,3.34,71.72,4.19,1953.25,4,64.89,129.77,45.42,64.89,97.33,9.07,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN035,Synthetic Company 35,Utilities,46.91,3.02,77.42,4.48,1818.32,4,65.19,130.38,45.63,65.19,97.79,6.12,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN036,Synthetic Company 36,Consumer Discretionary,54.31,3.45,66.13,5.0,878.27,3,63.67,127.33,44.57,63.67,95.5,11.57,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN037,Synthetic Company 37,Consumer Staples,47.52,1.07,82.98,5.79,2637.19,5,66.32,132.64,46.43,66.32,99.48,7.88,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN038,Synthetic Company 38,Information Technology,48.79,4.49,84.79,8.45,171.06,1,71.28,142.56,49.9,71.28,106.92,10.53,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN039,Synthetic Company 39,Utilities,52.44,4.73,76.13,1.57,417.43,2,69.01,138.03,48.31,69.01,103.52,14.15,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN040,Synthetic Company 40,Utilities,46.22,3.26,92.46,8.81,683.05,3,72.6,145.21,50.82,72.6,108.9,8.18,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN041,Synthetic Company 41,Energy,50.62,3.79,70.1,3.52,439.87,2,64.14,128.29,44.9,64.14,96.22,5.0,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN042,Synthetic Company 42,Energy,53.77,4.69,68.05,0.57,29.22,1,65.6,131.19,45.92,65.6,98.4,9.46,1.4,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN043,Synthetic Company 43,Real Estate,45.08,3.83,81.65,0.41,143.62,1,67.2,134.39,47.04,67.2,100.79,12.22,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN044,Synthetic Company 44,Financials,50.5,1.61,88.29,2.1,1045.71,3,71.0,142.01,49.7,71.0,106.51,13.93,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN045,Synthetic Company 45,Materials,50.41,3.31,92.89,8.1,1759.38,4,74.96,149.91,52.47,74.96,112.43,7.62,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN046,Synthetic Company 46,Consumer Staples,52.21,3.43,76.13,6.29,2042.65,4,67.6,135.19,47.32,67.6,101.4,11.02,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN047,Synthetic Company 47,Health Care,46.1,2.7,88.34,7.98,3933.6,5,69.92,139.84,48.94,69.92,104.88,9.11,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN048,Synthetic Company 48,Consumer Staples,46.01,3.95,79.65,3.67,725.53,3,66.77,133.55,46.74,66.77,100.16,9.79,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN049,Synthetic Company 49,Information Technology,51.26,4.74,78.14,3.24,796.39,3,69.44,138.88,48.61,69.44,104.16,15.36,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN050,Synthetic Company 50,Health Care,50.74,4.7,86.83,0.97,397.84,2,73.49,146.98,51.44,73.49,110.23,7.03,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN051,Synthetic Company 51,Information Technology,50.63,2.8,85.03,2.12,232.65,1,70.63,141.27,49.44,70.63,105.95,10.53,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN052,Synthetic Company 52,Financials,50.92,1.45,67.2,2.98,375.05,2,60.51,121.02,42.36,60.51,90.76,10.96,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN053,Synthetic Company 53,Real Estate,47.65,4.94,91.33,0.81,151.09,1,74.43,148.86,52.1,74.43,111.65,12.24,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN054,Synthetic Company 54,Consumer Staples,50.34,4.36,90.48,1.64,346.69,2,74.77,149.53,52.34,74.77,112.15,10.28,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN055,Synthetic Company 55,Consumer Staples,50.56,1.5,74.5,4.91,1691.98,4,64.03,128.06,44.82,64.03,96.04,10.69,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN056,Synthetic Company 56,Utilities,47.78,4.68,83.04,6.74,1886.6,4,70.09,140.19,49.07,70.09,105.14,9.23,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN057,Synthetic Company 57,Real Estate,55.51,4.48,83.82,32.12,3340.13,5,74.14,148.29,51.9,74.14,111.22,10.56,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN058,Synthetic Company 58,Utilities,51.33,3.08,81.94,13.63,881.42,3,69.71,139.42,48.8,69.71,104.57,9.33,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN059,Synthetic Company 59,Communication Services,46.09,3.37,75.07,5.52,610.13,2,63.95,127.89,44.76,63.95,95.92,11.32,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN060,Synthetic Company 60,Utilities,51.7,2.6,74.21,3.03,1292.25,3,65.55,131.11,45.89,65.55,98.33,9.32,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN061,Synthetic Company 61,Consumer Discretionary,46.92,1.22,79.56,5.23,2331.52,4,64.46,128.92,45.12,64.46,96.69,10.79,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN062,Synthetic Company 62,Consumer Discretionary,52.0,2.34,88.83,8.1,3214.14,5,72.76,145.51,50.93,72.76,109.14,10.02,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN063,Synthetic Company 63,Energy,53.25,4.21,84.01,0.88,173.89,1,72.84,145.68,50.99,72.84,109.26,12.3,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN064,Synthetic Company 64,Utilities,47.17,1.02,76.46,3.05,476.59,2,62.83,125.66,43.98,62.83,94.25,9.98,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN065,Synthetic Company 65,Health Care,52.63,2.33,85.76,9.45,3146.08,5,71.53,143.06,50.07,71.53,107.29,6.51,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN066,Synthetic Company 66,Utilities,51.23,2.59,57.2,2.43,624.13,2,56.81,113.62,39.77,56.81,85.21,12.53,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN067,Synthetic Company 67,Consumer Discretionary,52.22,3.15,88.81,4.52,1931.32,4,73.66,147.32,51.56,73.66,110.49,8.24,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN068,Synthetic Company 68,Information Technology,55.47,4.68,65.75,4.67,303.45,2,65.29,130.58,45.7,65.29,97.93,8.74,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN069,Synthetic Company 69,Financials,49.16,2.39,76.94,1.13,155.1,1,65.44,130.88,45.81,65.44,98.16,8.83,0.3,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN070,Synthetic Company 70,Industrials,47.59,2.39,70.81,2.41,1082.25,3,61.59,123.18,43.11,61.59,92.38,12.78,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN071,Synthetic Company 71,Materials,47.03,3.95,69.17,2.37,619.85,2,62.05,124.1,43.44,62.05,93.08,5.8,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN072,Synthetic Company 72,Information Technology,47.47,2.81,89.15,0.23,59.56,1,71.12,142.23,49.78,71.12,106.68,16.29,0.4,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN073,Synthetic Company 73,Consumer Discretionary,49.48,1.9,75.8,0.45,18.32,1,64.54,129.08,45.18,64.54,96.81,12.18,1.8,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN074,Synthetic Company 74,Communication Services,50.88,2.81,82.55,9.07,248.58,1,69.53,139.06,48.67,69.53,104.29,10.48,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN075,Synthetic Company 75,Energy,50.67,1.56,79.37,1.78,859.26,3,66.58,133.17,46.61,66.58,99.87,9.93,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN076,Synthetic Company 76,Financials,52.16,1.71,83.31,4.01,647.1,2,69.44,138.88,48.61,69.44,104.16,10.64,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN077,Synthetic Company 77,Communication Services,49.94,2.99,80.46,1.89,477.34,2,68.19,136.38,47.73,68.19,102.29,11.06,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN078,Synthetic Company 78,Health Care,54.21,2.68,69.5,14.29,6076.63,5,64.53,129.07,45.17,64.53,96.8,11.32,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN079,Synthetic Company 79,Financials,49.18,4.66,87.93,1.53,183.99,1,73.21,146.43,51.25,73.21,109.82,11.12,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN080,Synthetic Company 80,Industrials,58.11,2.45,75.97,2.87,770.39,3,69.49,138.98,48.64,69.49,104.23,10.19,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN081,Synthetic Company 81,Health Care,51.59,3.32,67.11,10.62,3765.72,5,62.67,125.35,43.87,62.67,94.01,9.67,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN082,Synthetic Company 82,Materials,47.29,3.53,76.36,9.38,1508.71,4,65.36,130.71,45.75,65.36,98.03,9.73,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN083,Synthetic Company 83,Consumer Staples,46.48,1.05,91.53,1.37,598.63,2,70.05,140.11,49.04,70.05,105.08,9.68,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN084,Synthetic Company 84,Real Estate,51.26,3.65,86.51,8.33,3356.71,5,72.54,145.07,50.77,72.54,108.8,12.31,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN085,Synthetic Company 85,Information Technology,49.06,1.71,76.8,3.36,1351.09,4,64.64,129.28,45.25,64.64,96.96,11.25,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN086,Synthetic Company 86,Financials,52.13,4.84,77.19,3.31,985.6,3,69.51,139.01,48.65,69.51,104.26,5.0,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN087,Synthetic Company 87,Consumer Staples,51.41,1.59,77.41,0.73,177.89,1,66.0,132.0,46.2,66.0,99.0,11.31,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN088,Synthetic Company 88,Industrials,49.45,2.66,96.1,0.78,109.9,1,75.44,150.87,52.81,75.44,113.16,10.46,0.3,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN089,Synthetic Company 89,Real Estate,47.34,1.34,82.88,6.64,1843.58,4,66.45,132.9,46.52,66.45,99.68,9.99,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN090,Synthetic Company 90,Communication Services,45.14,4.99,82.95,3.78,568.41,2,69.03,138.07,48.32,69.03,103.55,9.29,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN091,Synthetic Company 91,Communication Services,48.63,3.01,88.19,2.91,130.22,1,71.42,142.84,49.99,71.42,107.13,12.26,0.3,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN092,Synthetic Company 92,Consumer Discretionary,52.36,3.38,81.59,6.77,2205.49,4,70.36,140.72,49.25,70.36,105.54,11.94,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN093,Synthetic Company 93,Consumer Discretionary,50.27,1.27,77.35,7.66,2052.85,4,65.08,130.16,45.55,65.08,97.62,8.54,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN094,Synthetic Company 94,Financials,46.11,4.0,78.19,1.03,235.74,1,66.15,132.3,46.31,66.15,99.23,10.85,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN095,Synthetic Company 95,Real Estate,50.42,1.84,79.28,4.82,522.48,2,66.69,133.38,46.68,66.69,100.04,8.08,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN096,Synthetic Company 96,Consumer Staples,50.89,4.59,79.29,1.02,220.96,1,69.68,139.37,48.78,69.68,104.52,7.3,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN097,Synthetic Company 97,Real Estate,47.29,1.82,85.73,7.02,984.24,3,68.33,136.66,47.83,68.33,102.5,8.76,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN098,Synthetic Company 98,Industrials,50.39,1.76,80.31,5.43,2542.74,5,67.11,134.23,46.98,67.11,100.67,11.74,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN099,Synthetic Company 99,Information Technology,49.98,1.15,85.56,15.91,5335.23,5,68.91,137.83,48.24,68.91,103.37,11.95,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN100,Synthetic Company 100,Communication Services,46.29,2.89,78.92,0.67,28.58,1,65.5,130.99,45.85,65.5,98.24,11.09,1.3,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN101,Synthetic Company 101,Real Estate,51.01,3.26,80.54,0.36,27.97,1,69.03,138.07,48.32,69.03,103.55,11.46,1.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN102,Synthetic Company 102,Communication Services,51.67,1.26,63.99,1.67,720.87,3,59.09,118.18,41.36,59.09,88.64,11.04,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN103,Synthetic Company 103,Consumer Discretionary,53.07,4.1,87.05,1.72,114.99,1,74.16,148.32,51.91,74.16,111.24,8.76,0.4,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN104,Synthetic Company 104,Communication Services,53.03,2.81,82.57,1.56,380.19,2,70.61,141.22,49.43,70.61,105.92,10.89,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN105,Synthetic Company 105,Communication Services,45.85,3.1,87.96,11.86,5638.24,5,70.0,140.0,49.0,70.0,105.0,11.6,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN106,Synthetic Company 106,Consumer Discretionary,47.09,2.76,56.68,1.55,42.25,1,54.65,109.29,38.25,54.65,81.97,11.53,0.8,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN107,Synthetic Company 107,Financials,51.35,2.6,96.41,1.8,501.62,2,76.49,152.97,53.54,76.49,114.73,12.42,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN108,Synthetic Company 108,Consumer Discretionary,51.52,3.24,78.84,7.15,2348.44,4,68.42,136.84,47.89,68.42,102.63,11.42,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN109,Synthetic Company 109,Information Technology,51.32,1.62,88.52,3.23,1524.41,4,71.54,143.08,50.08,71.54,107.31,10.75,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN110,Synthetic Company 110,Energy,60.0,1.73,71.45,7.66,2518.5,5,67.45,134.91,47.22,67.45,101.18,12.17,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN111,Synthetic Company 111,Information Technology,51.51,4.45,84.58,0.57,268.3,1,72.49,144.98,50.74,72.49,108.73,9.99,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN112,Synthetic Company 112,Financials,53.04,4.78,71.0,3.75,1704.57,4,66.81,133.61,46.76,66.81,100.21,8.32,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN113,Synthetic Company 113,Health Care,52.83,2.49,74.96,0.21,73.06,1,66.38,132.77,46.47,66.38,99.58,9.68,0.6,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN114,Synthetic Company 114,Information Technology,51.83,2.08,95.12,0.46,194.85,1,75.56,151.12,52.89,75.56,113.34,8.54,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN115,Synthetic Company 115,Real Estate,48.74,3.58,77.99,12.19,1893.03,4,66.94,133.89,46.86,66.94,100.42,8.72,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN116,Synthetic Company 116,Consumer Discretionary,52.01,2.63,81.33,1.04,336.19,2,69.3,138.61,48.51,69.3,103.96,9.77,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN117,Synthetic Company 117,Energy,47.52,1.1,86.71,3.98,1926.76,4,68.22,136.44,47.75,68.22,102.33,8.45,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN118,Synthetic Company 118,Consumer Discretionary,49.13,1.62,83.72,2.83,827.76,3,68.05,136.09,47.63,68.05,102.07,9.42,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN119,Synthetic Company 119,Financials,48.27,3.86,80.77,2.44,198.6,1,68.38,136.76,47.87,68.38,102.57,6.27,0.3,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN120,Synthetic Company 120,Information Technology,50.02,3.64,82.58,11.75,5125.53,5,69.94,139.87,48.96,69.94,104.9,10.48,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN121,Synthetic Company 121,Communication Services,56.69,1.11,98.82,0.4,149.25,1,78.86,157.73,55.2,78.86,118.3,10.06,0.3,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN122,Synthetic Company 122,Financials,44.25,1.89,79.32,5.61,1550.87,4,63.67,127.35,44.57,63.67,95.51,8.4,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN123,Synthetic Company 123,Consumer Discretionary,51.91,1.92,81.38,16.7,2720.19,5,68.57,137.14,48.0,68.57,102.85,11.35,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN124,Synthetic Company 124,Financials,45.14,3.69,88.37,4.13,1982.1,4,70.45,140.89,49.31,70.45,105.67,11.88,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN125,Synthetic Company 125,Financials,48.45,1.08,88.63,13.96,6689.88,5,69.62,139.24,48.73,69.62,104.43,6.81,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN126,Synthetic Company 126,Consumer Discretionary,53.08,1.42,89.2,0.48,28.58,1,72.56,145.12,50.79,72.56,108.84,8.52,1.6,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN127,Synthetic Company 127,Communication Services,49.96,4.2,84.75,2.97,848.16,3,71.56,143.12,50.09,71.56,107.34,8.51,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN128,Synthetic Company 128,Communication Services,46.47,1.71,70.39,1.84,734.8,3,60.14,120.28,42.1,60.14,90.21,8.19,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN129,Synthetic Company 129,Communication Services,47.48,3.61,92.49,6.97,3473.55,5,73.6,147.19,51.52,73.6,110.4,11.74,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN130,Synthetic Company 130,Real Estate,51.76,1.95,70.39,20.21,5699.22,5,63.03,126.06,44.12,63.03,94.54,9.67,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN131,Synthetic Company 131,Materials,47.44,1.4,81.85,1.89,662.75,2,66.04,132.08,46.23,66.04,99.06,9.55,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN132,Synthetic Company 132,Real Estate,50.32,1.97,73.45,5.68,2397.94,4,63.86,127.72,44.7,63.86,95.79,6.07,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN133,Synthetic Company 133,Energy,49.99,3.89,79.25,1.27,569.63,2,68.51,137.02,47.96,68.51,102.76,11.3,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN134,Synthetic Company 134,Health Care,47.85,4.42,82.33,4.38,578.29,2,69.51,139.02,48.66,69.51,104.27,7.56,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN135,Synthetic Company 135,Energy,56.1,4.32,82.06,3.48,1541.38,4,73.4,146.8,51.38,73.4,110.1,10.19,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN136,Synthetic Company 136,Information Technology,51.56,2.59,82.84,18.26,5553.87,5,69.79,139.57,48.85,69.79,104.68,10.63,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN137,Synthetic Company 137,Consumer Discretionary,43.65,3.67,92.49,4.99,1253.17,3,71.75,143.49,50.22,71.75,107.62,12.78,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN138,Synthetic Company 138,Industrials,50.4,1.82,83.38,2.33,1059.88,3,68.71,137.42,48.1,68.71,103.06,7.42,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN139,Synthetic Company 139,Consumer Staples,47.83,2.17,77.76,0.81,20.71,1,64.96,129.93,45.47,64.96,97.45,5.0,3.9,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN140,Synthetic Company 140,Real Estate,52.51,4.59,87.64,0.87,66.43,1,74.66,149.33,52.26,74.66,112.0,10.38,0.6,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN141,Synthetic Company 141,Utilities,47.34,1.05,89.07,1.59,477.66,2,69.26,138.52,48.48,69.26,103.89,13.66,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN142,Synthetic Company 142,Utilities,49.47,1.34,69.9,1.65,98.45,1,61.03,122.06,42.72,61.03,91.54,12.52,0.3,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN143,Synthetic Company 143,Information Technology,51.35,1.83,84.52,9.69,3924.71,5,69.77,139.53,48.84,69.77,104.65,10.46,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN144,Synthetic Company 144,Communication Services,52.25,1.11,85.06,4.51,2080.0,4,69.76,139.52,48.83,69.76,104.64,9.1,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN145,Synthetic Company 145,Consumer Discretionary,46.13,1.73,77.21,4.0,224.8,1,63.4,126.79,44.38,63.4,95.1,11.67,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
